X,Y,OBJECTID_12_13,Plant_ID,Plant_Name,Plant_Alias,Plant_Label,EIA_ID,MW,General_Fuel,Status,STEP_License_Status,Docket_ID,Street,City,State_,Zip_Code,Plant_County,Initial_Start_Date,Online_Year,Retire_Date,Peaker,Renewable_Energy,Gen_Count,RPS_Eligible,Utility_ID,Owner_Name,Wind_Resource,LRA,Sub_Area,Service_Area,Service_Category,Caliso_Balancing_Authorities,Air_District,Air_Basin,Quad,Senate_District,Assembly_District,Congressional_District,CES30_PercentileRange,CES30_Percentile,CEC_Jurisdictional_Plant,CEC_Link,Aerial,Elevation
-121.921634992064639,38.400098489788206,3448,B0001,Vaca Dixon Battery Storage,Vaca Dixon Solar Station,Vaca Dixon Battery Storage,59256,2.4,Battery,Operating,,,5138 Midway Road,Vacaville,CA,95688,Solano,2013-07-01T00:00:00.000Z,2013,,0,,1,0,14328,Pacific Gas & Electric (PG&E),,,,Pacific Gas & Electric Company,IOU,CALISO,Yolo Solano Air Quality Management District,Sacramento Valley,Allendale,Senate District 3,Assembly District 11,Congressional District 3,61-65%,61,,,"<a href=""https://earth.google.com/web/@38.4000611,-121.9216472,25.83148828a,806.53260497d,35y,0h,45t,0r/data=CjoaOBIyCgAZbXO-MzUzQ0AhzJyJRPx6XsAqHDM4wrAyNCcwMC4yIk4gMTIxwrA1NScxNy45IlcYAiABKAI"">Google Earth</a>",50.60913467
-117.559669045762078,34.004651346292782,3449,B0005,Mira Loma BESS A,,Mira Loma - BESS A,60661,10,Battery,Operating,,,13568 Milliken Ave,Ontario,CA,91761,San Bernardino,2016-12-30T00:00:00.000Z,2016,,0,,1,0,17609,Not Available,,LA Basin,,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Guasti,Senate District 20,Assembly District 52,Congressional District 35,76-80%,79,,,"<a href=""https://earth.google.com/web/@37.3073111,-121.7500861,169.9892413a,819.75774447d,35y,0h,45t,0r/data=CjoaOBIyCgAZURla-FWnQkAhySshaQFwXsAqHDM3wrAxOCcyNi4zIk4gMTIxwrA0NScwMC4zIlcYAiABKAI"">Google Earth</a>",228.76054382
-117.55896894733867,34.004651345548076,3450,B0006,Mira Loma BESS B,,Mira Loma - BESS B,60661,10,Battery,Operating,,,13568 Milliken Ave,Ontario,CA,91761,San Bernardino,2016-12-30T00:00:00.000Z,2016,,0,,1,0,17609,Not Available,,LA Basin,,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Guasti,Senate District 20,Assembly District 52,Congressional District 35,76-80%,79,,,"<a href=""https://earth.google.com/web/@37.3073389,-121.7500861,171.5049108a,819.75490882d,35y,0h,45t,0r/data=CjoaOBIyCgAZ8SSO4VanQkAhySshaQFwXsAqHDM3wrAxOCcyNi40Ik4gMTIxwrA0NScwMC4zIlcYAiABKAI"">Google Earth</a>",228.76054382
-117.735476341147063,34.094284080420088,3451,B0007,AltaGas Pomona Energy Storage,,Pomona Energy Storage,50300,20,Battery,Operating,,,N Towne Avenue,Pamona,CA,91767,San Bernardino,2016-12-31T00:00:00.000Z,2016,,0,,1,0,17609,AltaGas Pomona Energy Inc,,LA Basin,Western LA Basin,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Ontario,Senate District 20,Assembly District 52,Congressional District 35,71-75%,70,,,"<a href=""https://earth.google.com/web/@37.3073389,-121.7500861,171.5049108a,819.75490882d,35y,0h,45t,0r/data=CjoaOBIyCgAZ8SSO4VanQkAhySshaQFwXsAqHDM3wrAxOCcyNi40Ik4gMTIxwrA0NScwMC4zIlcYAiAB"">Google Earth</a>",337.62228394
-117.115027487960489,33.124413313392765,3452,B0008,Escondido BESS 1,,Escondido BESS 1,60570,10,Battery,Operating,,,571 Enterprise Street,Vineyard,CA,92029,San Diego,2017-03-06T00:00:00.000Z,2017,,0,,1,0,16609,Not Available,,San Diego/ IV Area,San Diego,San Diego Gas & Electric,IOU,CALISO,San Diego County Air Pollution Control District,San Diego County,Escondido,Senate District 38,Assembly District 75,Congressional District 50,36-40%,37,,,"<a href=""https://earth.google.com/web/@37.3073361,-121.7501222,171.59421592a,819.75490882d,35y,0h,45t,0r/data=CjoaOBIyCgAZqjARylanQkAhOkCLAAJwXsAqHDM3wrAxOCcyNi40Ik4gMTIxwrA0NScwMC40IlcYAiABKAI"">Google Earth</a>",205.51629639
-117.115455602567039,33.124536295355767,3453,B0009,Escondido BESS 2,,Escondido BESS 2,60570,10,Battery,Operating,,,571 Enterprise Street,Vineyard,CA,92029,San Diego,2017-03-06T00:00:00.000Z,2017,,0,,1,0,16609,Not Available,,San Diego/ IV Area,San Diego,San Diego Gas & Electric,IOU,CALISO,San Diego County Air Pollution Control District,San Diego County,Escondido,Senate District 38,Assembly District 75,Congressional District 50,36-40%,37,,,"<a href=""https://earth.google.com/web/@37.307325,-121.7501278,171.47599747a,819.75774447d,35y,0h,45t,0r/data=CjoaOBIyCgAZIR_0bFanQkAhgjQIGAJwXsAqHDM3wrAxOCcyNi40Ik4gMTIxwrA0NScwMC41IlcYAiABKAI"">Google Earth</a>",205.18795776
-117.115832305691555,33.124670798992746,3454,B0010,Escondido BESS 3,,Escondido BESS 3,60570,10,Battery,Operating,,,571 Enterprise Street,Vineyard,CA,92029,San Diego,2017-03-06T00:00:00.000Z,2017,,0,,1,0,16609,Not Available,,San Diego/ IV Area,San Diego,San Diego Gas & Electric,IOU,CALISO,San Diego County Air Pollution Control District,San Diego County,Escondido,Senate District 38,Assembly District 75,Congressional District 50,36-40%,37,,,"<a href=""https://earth.google.com/web/@33.1248972,-117.1158778,204.52114538a,867.59550126d,35y,0h,45t,0r/data=CjoaOBIyCgAZVa6mofyPQEAhRlW4impHXcAqHDMzwrAwNycyOS42Ik4gMTE3wrAwNic1Ny4yIlcYAiABKAI"">Google Earth</a>",205.18795776
-118.382539873208742,33.922269677737866,3455,B0012,Los Angeles Air Force Base BESS,,Los Angeles Air Force Base,,0.53,Battery,Operating,,,7033 Hawarden Dr,Riverside,CA,92506,Riverside,2015-12-18T00:00:00.000Z,2015,,0,,1,0,17609,Not Available,,LA Basin,El Nindo,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Venice,Senate District 26,Assembly District 62,Congressional District 33,,,,,"<a href=""https://earth.google.com/web/@33.9216556,-118.3827,43.57539999a,858.83266317d,35y,0h,45t,0r/data=CjoaOBIyCgAZbxaKz_j1QEAheAskKH6YXcAqHDMzwrA1NScxOC4wIk4gMTE4wrAyMic1Ny43IlcYAiABKAI"">Google Earth</a>",30.62541962
-117.378509773865545,35.763780198024797,3456,C0001,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),"Ace Cogen.; Ace Cogeneration",ACE,10002,108,Coal,Retired,,"1986-AFC-01, 1986-AFC-01C",12801 Mariposa Street,Trona,CA,93562,San Bernardino,1990-12-01T00:00:00.000Z,1990,2014-10-01T00:00:00.000Z,0,0,1,0,17609,ACE Cogeneration Co,,,,Southern California Edison,IOU,CALISO,Mojave Desert Air Quality Management District,Mojave Desert,Trona West,Senate District 16,Assembly District 33,Congressional District 8,56-60%,58,1,,"<a href=""https://earth.google.com/web/@35.7626556,-117.3775417,513.21253356a,837.94704263d,35y,0h,45t,0r/data=CjoaOBIyCgAZPQ7esp7hQUAhFJippClYXcAqHDM1wrA0NSc0NS42Ik4gMTE3wrAyMiczOS4yIlcYAiABKAI"">Google Earth</a>",510.87438965
-118.228148591165251,33.775951387705675,3457,C0002,Los Angeles Refinery - Calciner,"Wilmington Calciner; BP Wilmington Calciner; CA Calciner at Long Beach",Wilmington Calciner,10601,35.8,Coal,Operating,,,2450 Pier B Street,Long Beach,CA,90813,Los Angeles,1982-12-01T00:00:00.000Z,1982,,0,0,1,0,17609,Tesoro Refining & Marketing Company LLC,,LA Basin,Western LA Basin,Southern California Edison,IOU,CALISO,South Coast Air Quality Management District,South Coast,Long Beach (digital),Senate District 33,Assembly District 70,Congressional District 47,,,,,"<a href=""https://earth.google.com/web/@33.7759389,-118.2281694,10.16151773a,860.44740249d,35y,0h,45t,0r/data=CjoaOBIyCgAZ3JhD91HjQEAhq7zTU5qOXcAqHDMzwrA0NiczMy40Ik4gMTE4wrAxMyc0MS40IlcYAiABKAI"">Google Earth</a>",-0.35465789
-119.648404094252342,36.26964513343674,3458,C0007,Hanford - Retired October 2011,"Hanford Cogen; Hanford L.P.",Hanford,10373,24,Coal,Retired,,,10596 Idaho Avenue,Hanford,CA,93230,Kings,1990-09-01T00:00:00.000Z,1990,2011-10-18T00:00:00.000Z,0,0,1,0,14328,Hanford LP,,Greater Fresno,Hanford,Pacific Gas & Electric Company,IOU,CALISO,San Joaquin Valley Air Pollution Control District,San Joaquin Valley,Hanford,Senate District 14,Assembly District 32,Congressional District 21,61-65%,65,,,"<a href=""https://earth.google.com/web/@36.27007874,-119.65001664,67.16484092a,3056.28632646d,35y,-56.80712489h,45.0141427t,-0r/data=CjoaOBIyCgAZ55Av_DsiQkAh4cxULY7pXcAqHDM2wrAxNicwMi44Ik4gMTE5wrAzOCc1Ny41IlcYAiAB"">Google Earth</a>",71.8140564
-121.870129852585976,38.030767319926625,3459,C0008,East Third Street Power Plant - Retired April 2012,"GWF Power Systems L.P.; GWF - E.  3Rd St Plant; GWF Power Systems Inc. #1; East Third Street Power Plant",E Third Street,10367,19,Coal,Retired,,,895 East Third Street,Pittsburg,CA,94565,Contra Costa,1990-12-01T00:00:00.000Z,1990,2012-04-26T00:00:00.000Z,0,0,1,0,14328,GWF Power Systems LP,,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Bay Area Air Quality Management District,San Francisco Bay,Antioch North,Senate District 7,Assembly District 14,Congressional District 11,76-80%,78,,,"<a href=""https://earth.google.com/web/@38.0307167,-121.870125,4.00966581a,811.0343168d,35y,0h,45t,0r/data=CjoaOBIyCgAZdPhahu4DQ0AhpZvEILB3XsAqHDM4wrAwMSc1MC42Ik4gMTIxwrA1MicxMi41IlcYAiABKAI"">Google Earth</a>",2.26005507
-121.860220483686263,38.016010209768503,3460,C0009,Loveridge Road Power Plant - Retired April 2012,"US Steel Posco Industries; GWF - Loveridge; GWF Power Systems Inc. #2; Loveridge Road Power Plant",Loveridge,10368,19,Coal,Retired,,,1600 Loveridge Road,Pittsburg,CA,94565,Contra Costa,1989-12-01T00:00:00.000Z,1989,2012-04-26T00:00:00.000Z,0,0,1,0,14328,GWF Power Systems LP,,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Bay Area Air Quality Management District,San Francisco Bay,Antioch North,Senate District 7,Assembly District 14,Congressional District 11,76-80%,78,,,"<a href=""https://earth.google.com/web/@38.0159722,-121.8601667,12.38206704a,811.21265731d,35y,0h,45t,0r/data=CjoaOBIyCgAZlVKGYAsCQ0Ah7Wah-Ax3XsAqHDM4wrAwMCc1Ny41Ik4gMTIxwrA1MSczNi42IlcYAiABKAI"">Google Earth</a>",10.04477215
-121.755959039286068,38.01074316458989,3461,C0010,Wilbur East Power Plant - Retired April 2012,"Wilbur East; GWF - Wilbur I; GWF Power Systems Inc. #3",Wilbur E Power Plant,10370,19,Coal,Retired,,,3400 Wilbur Avenue East,Antioch,CA,94509,Contra Costa,1989-10-01T00:00:00.000Z,1989,2012-04-26T00:00:00.000Z,0,0,1,0,14328,GWF Power Systems LP,,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Bay Area Air Quality Management District,San Francisco Bay,Antioch North,Senate District 7,Assembly District 11,Congressional District 9,71-75%,75,,,"<a href=""https://earth.google.com/web/@38.0105972,-121.7561861,9.05117592a,811.28059822d,35y,0h,45t,0r/data=CjoaOBIyCgAZ77bBP1sBQ0AhJUxiWmVwXsAqHDM4wrAwMCczOC4yIk4gMTIxwrA0NScyMi4zIlcYAiABKAI"">Google Earth</a>",6.58646154
-121.780698917095194,38.011657831515159,3462,C0011,Wilbur West Power Plant - Retired April 2012,"Wilbur West; GWF - Wilbur II; GWF Power Systems Inc. #4",Wilbur W Power Plant,10369,19,Coal,Retired,,,1900 Wilbur Avenue West,Antioch,CA,94509,Contra Costa,1990-08-01T00:00:00.000Z,1990,2012-04-26T00:00:00.000Z,0,0,1,0,14328,GWF Power Systems LP,,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Bay Area Air Quality Management District,San Francisco Bay,Antioch North,Senate District 7,Assembly District 11,Congressional District 9,71-75%,75,,,"<a href=""https://earth.google.com/web/@38.00982323,-121.77837197,20.50025004a,797.19955616d,35y,-0h,44.99991035t,0r/data=CjoaOBIyCgAZhvoCHygBQ0Ah1WKmo9JxXsAqHDM4wrAwMCczMi41Ik4gMTIxwrA0Nic0Mi41IlcYAiAB"">Google Earth</a>",7.79070377
-121.987232279188063,38.043511002533236,3463,C0012,Nichols Road Power Plant - Retired April 2012,"GWF Power Plant Nicholas Rd.; GWF Power Systems Inc. #5",Nichols Road,10371,19,Coal,Retired,,,555 Nichols Road,Bay Point,CA,94565,Contra Costa,1990-03-01T00:00:00.000Z,1990,2012-04-26T00:00:00.000Z,0,0,1,0,14328,GWF Power Systems LP,,Greater Bay,Pittsburgh / Oakland,Pacific Gas & Electric Company,IOU,CALISO,Bay Area Air Quality Management District,San Francisco Bay,Honker Bay,Senate District 7,Assembly District 14,Congressional District 11,66-70%,68,,,"<a href=""https://earth.google.com/web/@38.0435111,-121.9872306,10.22793388a,810.87862786d,35y,0h,45t,0r/data=CjoaOBIyCgAZqcGPxZEFQ0AhESdByS5_XsAqHDM4wrAwMiczNi42Ik4gMTIxwrA1OScxNC4wIlcYAiABKAI"">Google Earth</a>",11.79069996
-117.383755220964161,35.765567387228373,3464,C0017,Argus Cogen Plant,"Argus Cogen; North American Chemical Co.; Kerr McGee Argus Cogeneration Expansion (ACE) Project Argus Cogeneration Expansion Project
",Argus,10684,62.5,Coal,Operating,Retired,"86-AFC-01, 86-AFC-01C",82090 First Street,Trona,CA,93562,San Bernardino,1947-12-01T00:00:00.000Z,1947,,0,0,3,0,17609,Karnavati Holdings Inc,,,,Southern California Edison,IOU,CALISO,Mojave Desert Air Quality Management District,Mojave Desert,Trona West,Senate District 16,Assembly District 33,Congressional District 8,56-60%,58,,"<a href=""http://www.energy.ca.gov/sitingcases/pre1999_page/index.php?xkm=ajdkha2385duhkasd170dsasjd5598fhajkhs"">Siting Case</a>","<a href=""https://earth.google.com/web/@35.76480305,-117.38357049,527.40748837a,835.83828307d,35y,281.55763188h,60t,0r/data=CjoaOBIyCgAZyQufY_bhQUAh1myKbIxYXcAqHDM1wrA0NSc1NS4yIk4gMTE3wrAyMycwMC44IlcYAiABKAI"">Google Map</a>",525.20184326
-117.336463768564556,34.603904151265887,3465,C0019,TXI Riverside Cement Power House (Shutdown March 2008),"TXI Riverside Cement; Riverside Cement Co.",TXI Cement,50557,24,Coal,Retired,,,19409 National Trails Highway,Oro Grande,CA,92368,San Bernardino,1954-12-01T00:00:00.000Z,1954,2008-03-31T00:00:00.000Z,0,0,2,0,17609,TXI Riverside Cement,,,,Southern California Edison,IOU,CALISO,Mojave Desert Air Quality Management District,Mojave Desert,Victorville,Senate District 16,Assembly District 33,Congressional District 8,71-75%,73,,,"<a href=""https://earth.google.com/web/@34.6039022,-117.3364664,810.05968481a,851.19455461d,35y,0h,45t,0r/data=CjoaOBIyCgAZwX3TqkxNQUAh-wxeqohVXcAqHDM0wrAzNicxNC4xIk4gMTE3wrAyMCcxMS4zIlcYAiABKAI"">Google Earth</a>",807.90405273
-121.137248595955853,41.133098238368603,3466,E0003,Big Valley Power LLC_(Retired June 30  2010),"Big Valley Lumber Co.; Big Valley Biomass Power",Big Valley,10288,9.38,Biomass,Retired,,,Highway 299 East,Bieber,CA,96009,Lassen,1983-07-01T00:00:00.000Z,1983,2010-06-30T00:00:00.000Z,0,1,1,1,14328,Big Valley Power LLC,,,,Pacific Gas & Electric Company,IOU,CALISO,Lassen County Air Pollution Control District,Northeast Plateau,Lookout,Senate District 1,Assembly District 1,Congressional District 1,26-30%,29,,,"<a href=""https://earth.google.com/web/@41.1330989,-121.1372489,1261.13334126a,772.22539962d,35y,0h,45t,0r/data=CjoaOBIyCgAZGVF_YgmRREAhXTqcr8hIXsAqHDQxwrAwNyc1OS4yIk4gMTIxwrAwOCcxNC4xIlcYAiABKAI"">Google Earth</a>",1261.33691406
-121.309751479890735,38.903104140509022,3467,E0004,SPI - Lincoln,"Sierra Pacific Ind. (Lincoln); Lincoln Power Plant",SPI - Lincoln,10144,19.2,Biomass,Retired,,,1445 Highway 65,Lincoln,CA,95648,Placer,1997-06-01T00:00:00.000Z,1997,2004-05-28T00:00:00.000Z,0,1,3,1,14328,Sierra Pacific Industries Inc,,Sierra,Drum-Rio Oso,Pacific Gas & Electric Company,IOU,CALISO,Placer County Air Pollution Control District,Sacramento Valley,Lincoln,Senate District 1,Assembly District 6,Congressional District 4,11-15%,10,,,"<a href=""https://earth.google.com/web/@38.9030269,-121.30971,47.05536181a,800.35109395d,35y,0h,45t,0r/data=CjoaOBIyCgAZQnStYpZzQ0AhoE_kSdJTXsAqHDM4wrA1NCcxMC45Ik4gMTIxwrAxOCczNS4wIlcYAiABKAI"">Google Earth</a>",43.3375473
-121.72033638801679,40.879566537557295,3468,E0005,Burney Forest Products,"Burney Forest Power; Delwest Saw Mill Cogen",Burney Forest ,10652,31,Biomass,Operating,,,35586 B Highway 299 East,Burney,CA,96013,Shasta,1989-10-01T00:00:00.000Z,1989,,0,1,1,1,14328,Burney Forest Power,,,,Pacific Gas & Electric Company,IOU,CALISO,Shasta County Air Quality Management District,Sacramento Valley,Burney,Senate District 1,Assembly District 1,Congressional District 1,51-55%,51,,,"<a href=""https://earth.google.com/web/@40.8795869,-121.7203261,998.90903418a,775.4791146d,35y,0h,45t,0r/data=CjoaOBIyCgAZub60TZZwREAhIn2k0hluXsAqHDQwwrA1Mic0Ni41Ik4gMTIxwrA0MycxMy4yIlcYAiABKAI"">Google Earth</a>",995.30236816
-121.639587575423946,40.910000722948503,3469,E0006,Burney Mountain Power (Retired 10/31/2010),"Burney Mountain Powerogden Power Pacific, Inc. (Burney); Covanta Burney Mountian Power",Burney Mtn. Power,54219,11,Biomass,Retired,,,Highway 299 East and Energy Drive,Burney,CA,96013,Shasta,1985-01-01T00:00:00.000Z,1985,2010-10-31T00:00:00.000Z,0,1,1,1,14328,Burney Mountain Power,,,,Pacific Gas & Electric Company,IOU,CALISO,Shasta County Air Quality Management District,Sacramento Valley,Burney,Senate District 1,Assembly District 1,Congressional District 1,51-55%,51,,,"<a href=""https://earth.google.com/web/@40.910005,-121.6395803,955.50431089a,775.08844371d,35y,0h,45t,0r/data=CjoaOBIyCgAZJhk5C3t0REAhneo14u5oXsAqHDQwwrA1NCczNi4wIk4gMTIxwrAzOCcyMi41IlcYAiABKAI"">Google Earth</a>",954.97900391
-116.088752323693356,33.586119654041092,3470,E0027,Desert View Power (Mecca Plant),"Colmac; Colmac Energy; Mecca LF II, Mecca Plant; Desert View Power ",Colmac,10300,54.15,Biomass,Operating,,,62-300 Gene Welmas Drive,Mecca,CA,92254,Riverside,1991-11-01T00:00:00.000Z,1991,,0,1,1,1,17609,Desert View Power (formerly Colmac Energy Inc),,,,Imperial Irrigation District,POU,IID,South Coast Air Quality Management District,Salton Sea,Mecca,Senate District 28,Assembly District 56,Congressional District 36,81-85%,84,,,"<a href=""https://earth.google.com/web/@40.3025139,-121.2445083,1386.48708513a,782.8317018d,35y,0h,45t,0r/data=CjoaOBIyCgAZ74qFxrgmREAhbwYkBqZPXsAqHDQwwrAxOCcwOS4xIk4gMTIxwrAxNCc0MC4yIlcYAiABKAI"">Google Earth</a>",-53.6389389
