time,regions,market_segments,sales_channels,quantity,revenue
2017.12,Region A,Market Segment 1,Sales Channel 1,58284356.69,291421783.5
2017.12,Region A,Market Segment 1,Sales Channel 2,33804926.88,169024634.4
2017.12,Region A,Market Segment 1,Sales Channel 3,20982368.41,62947105.23
2017.12,Region A,Market Segment 1,Sales Channel 4,3497061.402,6994122.803
2017.12,Region A,Market Segment 2,Sales Channel 1,7285544.587,21856633.76
2017.12,Region A,Market Segment 2,Sales Channel 2,4225615.86,21128079.3
2017.12,Region A,Market Segment 2,Sales Channel 3,2622796.051,7868388.154
2017.12,Region A,Market Segment 2,Sales Channel 4,437132.6752,1748530.701
2017.12,Region A,Market Segment 3,Sales Channel 1,3642772.293,10928316.88
2017.12,Region A,Market Segment 3,Sales Channel 2,2112807.93,6338423.79
2017.12,Region A,Market Segment 3,Sales Channel 3,1311398.026,2622796.051
2017.12,Region A,Market Segment 3,Sales Channel 4,218566.3376,1092831.688
2017.12,Region A,Market Segment 4,Sales Channel 1,3642772.293,7285544.587
2017.12,Region A,Market Segment 4,Sales Channel 2,2112807.93,4225615.86
2017.12,Region A,Market Segment 4,Sales Channel 3,1311398.026,3934194.077
2017.12,Region A,Market Segment 4,Sales Channel 4,218566.3376,1092831.688
2017.12,Region B,Market Segment 1,Sales Channel 1,25645592.93,76936778.8
2017.12,Region B,Market Segment 1,Sales Channel 2,14874443.9,44623331.71
2017.12,Region B,Market Segment 1,Sales Channel 3,9232413.456,36929653.83
2017.12,Region B,Market Segment 1,Sales Channel 4,1538735.576,6154942.304
2017.12,Region B,Market Segment 2,Sales Channel 1,3205699.117,16028495.58
2017.12,Region B,Market Segment 2,Sales Channel 2,1859305.488,5577916.463
2017.12,Region B,Market Segment 2,Sales Channel 3,1154051.682,4616206.728
2017.12,Region B,Market Segment 2,Sales Channel 4,192341.947,577025.841
2017.12,Region B,Market Segment 3,Sales Channel 1,1602849.558,4808548.675
2017.12,Region B,Market Segment 3,Sales Channel 2,929652.7439,1859305.488
2017.12,Region B,Market Segment 3,Sales Channel 3,577025.841,2308103.364
2017.12,Region B,Market Segment 3,Sales Channel 4,96170.9735,192341.947
2017.12,Region B,Market Segment 4,Sales Channel 1,1602849.558,4808548.675
2017.12,Region B,Market Segment 4,Sales Channel 2,929652.7439,2788958.232
2017.12,Region B,Market Segment 4,Sales Channel 3,577025.841,1731077.523
2017.12,Region B,Market Segment 4,Sales Channel 4,96170.9735,288512.9205
2017.12,Region C,Market Segment 1,Sales Channel 1,50460054.58,100920109.2
2017.12,Region C,Market Segment 1,Sales Channel 2,29266831.66,146334158.3
2017.12,Region C,Market Segment 1,Sales Channel 3,18165619.65,72662478.6
2017.12,Region C,Market Segment 1,Sales Channel 4,3027603.275,9082809.825
2017.12,Region C,Market Segment 2,Sales Channel 1,6307506.823,31537534.12
2017.12,Region C,Market Segment 2,Sales Channel 2,3658353.957,18291769.79
2017.12,Region C,Market Segment 2,Sales Channel 3,2270702.456,11353512.28
2017.12,Region C,Market Segment 2,Sales Channel 4,378450.4094,1135351.228
2017.12,Region C,Market Segment 3,Sales Channel 1,3153753.412,12615013.65
2017.12,Region C,Market Segment 3,Sales Channel 2,1829176.979,9145884.893
2017.12,Region C,Market Segment 3,Sales Channel 3,1135351.228,3406053.684
2017.12,Region C,Market Segment 3,Sales Channel 4,189225.2047,946126.0235
2017.12,Region C,Market Segment 4,Sales Channel 1,3153753.412,12615013.65
2017.12,Region C,Market Segment 4,Sales Channel 2,1829176.979,3658353.957
2017.12,Region C,Market Segment 4,Sales Channel 3,1135351.228,5676756.141
2017.12,Region C,Market Segment 4,Sales Channel 4,189225.2047,756900.8188
2017.12,Region D,Market Segment 1,Sales Channel 1,17883078.31,71532313.26
2017.12,Region D,Market Segment 1,Sales Channel 2,10372185.42,31116556.27
2017.12,Region D,Market Segment 1,Sales Channel 3,6437908.193,19313724.58
2017.12,Region D,Market Segment 1,Sales Channel 4,1072984.699,4291938.795
2017.12,Region D,Market Segment 2,Sales Channel 1,2235384.789,6706154.368
2017.12,Region D,Market Segment 2,Sales Channel 2,1296523.178,6482615.889
2017.12,Region D,Market Segment 2,Sales Channel 3,804738.5241,4023692.621
2017.12,Region D,Market Segment 2,Sales Channel 4,134123.0874,268246.1747
2017.12,Region D,Market Segment 3,Sales Channel 1,1117692.395,3353077.184
2017.12,Region D,Market Segment 3,Sales Channel 2,648261.5889,3241307.944
2017.12,Region D,Market Segment 3,Sales Channel 3,402369.2621,2011846.31
2017.12,Region D,Market Segment 3,Sales Channel 4,67061.54368,268246.1747
2017.12,Region D,Market Segment 4,Sales Channel 1,1117692.395,4470769.579
2017.12,Region D,Market Segment 4,Sales Channel 2,648261.5889,2593046.356
2017.12,Region D,Market Segment 4,Sales Channel 3,402369.2621,2011846.31
2017.12,Region D,Market Segment 4,Sales Channel 4,67061.54368,268246.1747
2017.12,Region E,Market Segment 1,Sales Channel 1,22921176.89,91684707.57
2017.12,Region E,Market Segment 1,Sales Channel 2,13294282.6,53177130.39
2017.12,Region E,Market Segment 1,Sales Channel 3,8251623.681,41258118.41
2017.12,Region E,Market Segment 1,Sales Channel 4,1375270.614,2750541.227
2017.12,Region E,Market Segment 2,Sales Channel 1,2865147.112,8595441.335
2017.12,Region E,Market Segment 2,Sales Channel 2,1661785.325,8308926.624
2017.12,Region E,Market Segment 2,Sales Channel 3,1031452.96,5157264.801
2017.12,Region E,Market Segment 2,Sales Channel 4,171908.8267,687635.3068
2017.12,Region E,Market Segment 3,Sales Channel 1,1432573.556,4297720.667
2017.12,Region E,Market Segment 3,Sales Channel 2,830892.6624,2492677.987
2017.12,Region E,Market Segment 3,Sales Channel 3,515726.4801,2578632.4
2017.12,Region E,Market Segment 3,Sales Channel 4,85954.41335,343817.6534
2017.12,Region E,Market Segment 4,Sales Channel 1,1432573.556,5730294.223
2017.12,Region E,Market Segment 4,Sales Channel 2,830892.6624,2492677.987
2017.12,Region E,Market Segment 4,Sales Channel 3,515726.4801,1031452.96
2017.12,Region E,Market Segment 4,Sales Channel 4,85954.41335,171908.8267
2017.12,Region F,Market Segment 1,Sales Channel 1,76834280.9,153668561.8
2017.12,Region F,Market Segment 1,Sales Channel 2,44563882.92,178255531.7
2017.12,Region F,Market Segment 1,Sales Channel 3,27660341.13,82981023.38
2017.12,Region F,Market Segment 1,Sales Channel 4,4610056.854,9220113.709
2017.12,Region F,Market Segment 2,Sales Channel 1,9604285.113,48021425.57
2017.12,Region F,Market Segment 2,Sales Channel 2,5570485.366,22281941.46
2017.12,Region F,Market Segment 2,Sales Channel 3,3457542.641,13830170.56
2017.12,Region F,Market Segment 2,Sales Channel 4,576257.1068,2881285.534
2017.12,Region F,Market Segment 3,Sales Channel 1,4802142.557,14406427.67
2017.12,Region F,Market Segment 3,Sales Channel 2,2785242.683,11140970.73
2017.12,Region F,Market Segment 3,Sales Channel 3,1728771.32,6915085.281
2017.12,Region F,Market Segment 3,Sales Channel 4,288128.5534,1152514.214
2017.12,Region F,Market Segment 4,Sales Channel 1,4802142.557,19208570.23
2017.12,Region F,Market Segment 4,Sales Channel 2,2785242.683,11140970.73
2017.12,Region F,Market Segment 4,Sales Channel 3,1728771.32,8643856.602
2017.12,Region F,Market Segment 4,Sales Channel 4,288128.5534,864385.6602
2017.12,Region G,Market Segment 1,Sales Channel 1,47391714.7,142175144.1
2017.12,Region G,Market Segment 1,Sales Channel 2,27487194.52,82461583.57
2017.12,Region G,Market Segment 1,Sales Channel 3,17061017.29,85305086.45
2017.12,Region G,Market Segment 1,Sales Channel 4,2843502.882,5687005.764
2017.12,Region G,Market Segment 2,Sales Channel 1,5923964.337,29619821.69
2017.12,Region G,Market Segment 2,Sales Channel 2,3435899.316,6871798.631
2017.12,Region G,Market Segment 2,Sales Channel 3,2132627.161,6397881.484
2017.12,Region G,Market Segment 2,Sales Channel 4,355437.8602,1777189.301
2017.12,Region G,Market Segment 3,Sales Channel 1,2961982.169,8885946.506
2017.12,Region G,Market Segment 3,Sales Channel 2,1717949.658,8589748.289
2017.12,Region G,Market Segment 3,Sales Channel 3,1066313.581,4265254.323
2017.12,Region G,Market Segment 3,Sales Channel 4,177718.9301,355437.8602
2017.12,Region G,Market Segment 4,Sales Channel 1,2961982.169,14809910.84
2017.12,Region G,Market Segment 4,Sales Channel 2,1717949.658,8589748.289
2017.12,Region G,Market Segment 4,Sales Channel 3,1066313.581,2132627.161
2017.12,Region G,Market Segment 4,Sales Channel 4,177718.9301,533156.7903
2017.12,Region H,Market Segment 1,Sales Channel 1,28572082.05,114288328.2
2017.12,Region H,Market Segment 1,Sales Channel 2,16571807.59,66287230.37
2017.12,Region H,Market Segment 1,Sales Channel 3,10285949.54,51429747.7
2017.12,Region H,Market Segment 1,Sales Channel 4,1714324.923,3428649.847
2017.12,Region H,Market Segment 2,Sales Channel 1,3571510.257,10714530.77
2017.12,Region H,Market Segment 2,Sales Channel 2,2071475.949,8285903.796
2017.12,Region H,Market Segment 2,Sales Channel 3,1285743.692,3857231.077
